"Data","Lançamento","Categoria","Tipo","Valor"
"30/11/2025","JIM COM  VALNEIR SACR  GOIANIA       BRA","OUTROS","Compra à vista","R$ 53,19"
"29/11/2025","ELITE BEBIDAS          APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 55,50"
"29/11/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 12,00"
"29/11/2025","LA CASA DOS SALGADOS   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 8,50"
"29/11/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 107,00"
"29/11/2025","ALTERNATIVA            GOIANIA       BRA","VESTUARIO","Compra à vista","R$ 230,00"
"28/11/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 7,50"
"27/11/2025","CLARO FLEX             SAO PAULO     BRA","OUTROS","Compra à vista","R$ 39,99"
"27/11/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 20,00"
"26/11/2025","JIM COM  DONA DEUSA M  GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 15,00"
"24/11/2025","ZP BORRACHARIA PARREIR GOIANIA       BRA","OUTROS","Compra à vista","R$ 80,00"
"24/11/2025","EdivaldoNevesDa        GOIANIA       BRA","SERVICOS","Compra à vista","R$ 45,00"
"23/11/2025","QuintalDoBoni          GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 58,00"
"22/11/2025","PRIME BEBIDAS ATACARE  SANTO ANTONIO BRA","RESTAURANTES","Compra à vista","R$ 22,50"
"22/11/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 20,50"
"20/11/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 63,00"
"20/11/2025","MP  EMPORIOW5          OSASCO        BRA","RESTAURANTES","Compra à vista","R$ 18,50"
"20/11/2025","Google Crunchyroll     SAO PAULO     BRA","COMPRAS","Compra à vista","R$ 19,99"
"20/11/2025","Mc Donalds   Arcos Dou Barueri       BRA","RESTAURANTES","Compra à vista","R$ 18,45"
"20/11/2025","MC ALIMENTOS PASSEIO L GFOIANIA      BRA","RESTAURANTES","Compra à vista","R$ 14,90"
"20/11/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 32,50"
"18/11/2025","MP  37117688MARCU      OSASCO        BRA","SERVICOS","Compra à vista","R$ 35,00"
"17/11/2025","IFD THALISON CIRQUEIRA GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 12,50"
"16/11/2025","ZIG     STOCKEI COMERC OGOIANIA      BRA","COMPRAS","Compra à vista","R$ 48,00"
"16/11/2025","ZIG     STOCKEI COMERC OGOIANIA      BRA","COMPRAS","Compra à vista","R$ 24,00"
"16/11/2025","ZIG     STOCKEI COMERC OGOIANIA      BRA","COMPRAS","Compra à vista","R$ 48,00"
"15/11/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 39,00"
"15/11/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 45,00"
"15/11/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 42,89"
"15/11/2025","MP  EMPORIOW5          OSASCO        BRA","RESTAURANTES","Compra à vista","R$ 48,00"
"14/11/2025","IFD ARCOS DOURADOS COM GOIANA        BRA","RESTAURANTES","Compra à vista","R$ 4,88"
"13/11/2025","MP  EMPORIOW5          OSASCO        BRA","RESTAURANTES","Compra à vista","R$ 52,00"
"13/11/2025","Wellhub Gympass BR Gym Sao Paulo     BRA","SERVICOS","Compra à vista","R$ 139,90"
"10/11/2025","IFD RESTAURANTE 02 LTD GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 12,50"
"09/11/2025","MERCADO MERCADOLIVRE   BARUERI       BRA","TRANSPORTE","Parcela 1/3","R$ 37,62"
"08/11/2025","MP  EMPORIOW5          OSASCO        BRA","RESTAURANTES","Compra à vista","R$ 47,00"
"07/11/2025","JIM COM  51396809 ANT  GOIANIA       BRA","RESTAURANTES","Compra à vista","R$ 16,00"
"07/11/2025","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 2.841,01"
"07/11/2025","DL GOOGLE Google       SAO PAULO     BRA","ENTRETENIMENTO","Compra à vista","R$ 1,00"
"07/11/2025","EMPORIO E DISTRIBUIDOR APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 77,00"
"06/11/2025","DL GOOGLE Brawl        SAO PAULO     BRA","ENTRETENIMENTO","Compra à vista","R$ 29,90"
"04/11/2025","POSTO CENTRAL          GOIANIA       BRA","TRANSPORTE","Compra à vista","R$ 155,62"
"01/11/2025","SUPERMERCADO GREGORIO  APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 25,31"
"01/11/2025","EMPORIO RAMOS          APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 141,00"
"01/11/2025","HIPERPOSTO ANEL VIARIO APARECIDA DE  BRA","TRANSPORTE","Compra à vista","R$ 80,00"
"31/10/2025","F M DOS SANTOS SILVA   APARECIDA DE  BRA","RESTAURANTES","Compra à vista","R$ 32,89"
"31/10/2025","EMPORIO W4             APARECIDA DE  BRA","BARES","Compra à vista","R$ 11,00"
"13/10/2025","SHEIN   Compra Compra  Sao Paulo     BRA","COMPRAS","Parcela 2/2","R$ 34,97"
"11/10/2025","FLASH CAR LUBRIFICAN   GOIANIA       BRA","TRANSPORTE","Parcela 2/3","R$ 135,66"
"02/10/2025","CENTAURO CE94          APARECIDA DE  BRA","ESPORTES","Parcela 2/3","R$ 149,98"
"14/08/2025","MERCADOPAGO  2PRODUTO  Goinia        BRA","CONSTRUCAO","Parcela 4/5","R$ 182,17"
