"Data","Lançamento","Categoria","Tipo","Valor"
"05/02/2025","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 1.091,27"
"01/02/2025","YONE                   Aparecida de  BRA","RESTAURANTES","Compra à vista","R$ 85,50"
"27/01/2025","CLARO FLEX             SAO PAULO     BRA","OUTROS","Compra à vista","R$ 39,99"
"25/01/2025","YONE                   Aparecida de  BRA","RESTAURANTES","Compra à vista","R$ 53,25"
"18/01/2025","Uber UBER  TRIP HELP U SAO PAULO     BRA","TRANSPORTE","Compra à vista","R$ 20,91"
"18/01/2025","FLASH CAR LUBRIFICAN   GOIANIA       BRA","TRANSPORTE","Parcela 1/3","R$ 112,00"
"18/01/2025","99APP        99App     Sao Paulo     BRA","TRANSPORTE","Compra à vista","R$ 11,84"
"17/01/2025","FROGPAY NOSSO BOTECO   GOIANIA       BRA","BARES","Compra à vista","R$ 51,75"
"15/01/2025","Valori  UNIQUE DISTRIB Aparecida de  BRA","SUPERMERCADO","Compra à vista","R$ 19,50"
"14/01/2025","Google YouTube         SAO PAULO     BRA","COMPRAS","Compra à vista","R$ 13,90"
"11/01/2025","EMPORIO RAMOS PF       APARECIDA DE  BRA","SUPERMERCADO","Compra à vista","R$ 11,00"
"10/01/2025","NOSSO BOTECO JARDIM    GOIANIA       076","BARES","Compra à vista","R$ 74,73"
"10/01/2025","UAIBEBIDAS             Goinia        BRA","OUTROS","Compra à vista","R$ 81,00"
"09/01/2025","PONTO DOS BOLOS        GOIANIA       BRA","SUPERMERCADO","Compra à vista","R$ 31,00"
"08/01/2025","MICROSOFT SUBSCRIPTION SAO PAULO     BRA","COMPRAS","Compra à vista","R$ 59,99"
"08/01/2025","50881065 BRENDA PERE   APARECIDA DE  BRA","BARES","Compra à vista","R$ 68,00"
"07/01/2025","SuelenAmaralDo         GOIANIA       BRA","SERVICOS","Compra à vista","R$ 50,00"
"06/01/2025","PAGAMENTO ON LINE","OUTROS","Compra à vista","-R$ 36,40"
"21/09/2024","PortoPneus             GOIANIA       BRA","TRANSPORTE","Parcela 5/10","R$ 69,00"
"14/09/2024","PortoPneus             GOIANIA       BRA","TRANSPORTE","Parcela 5/12","R$ 237,91"
